auc,ap,brier
0.9495804108773146,0.8861729765881242,0.09006862672758083
0.9518175382041827,0.9011896528045903,0.09036168790271047
0.9495148838503269,0.8908947200578035,0.09222802493089102
0.9511913653711987,0.8965377454809557,0.08989517355274323
0.9518354464611681,0.8928429070761504,0.08780434045858444
0.9466730921898096,0.8880831894618764,0.0921478250979134
0.9476176342955768,0.8831039731664954,0.09217459215498236
0.9436312025313623,0.8784934972993664,0.09294441544151823
0.9470685922095394,0.8924272956776784,0.093021628944008
0.9480538310034912,0.8898316226513967,0.09264435331916465
0.946217813459592,0.8859174213801391,0.0954243986570855
0.9528432100459419,0.9028332583386594,0.08813786568255552
0.9487294913718662,0.8847014482896278,0.08947436564265572
0.9445001972792617,0.8874642550026067,0.09552120101690388
0.9512735697637092,0.8876210846784773,0.08858645052675647
0.9471418255152948,0.8851268572822779,0.0917768845227551
0.9478056509311882,0.8893883417676162,0.09248888940440766
0.9500612618802244,0.8805798778948846,0.08865936435849843
0.9463926826923916,0.8882428134869526,0.09252809021761091
0.9492322243240235,0.8896438317598063,0.08985238175403633
0.9446454763007566,0.8873572695454279,0.0953603387112134
0.9463285857349505,0.8787416326296947,0.09189015722996276
0.9573604265537093,0.9083582343814657,0.08620351704917621
0.9466512467943062,0.8910357695985871,0.0937788357210242
0.9492516729090257,0.894677003805049,0.09195138122408208
0.948407095516526,0.8858969617032582,0.09098995184032822
0.9437123318047167,0.8744766395926787,0.09446797430012335
0.9455838598054893,0.8820206508997134,0.09324104992619656
0.9490730942712398,0.8857518504908487,0.09103183924574383
0.9456405226114393,0.8804717062668574,0.091270014909067
0.9447371437046624,0.8764410775042467,0.09249743211039851
0.9513573276637298,0.8905208393261095,0.08825778738941521
0.9475262262235987,0.8903513200394092,0.09247381952069557
