state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
steady_cruise|structural_decline|r_mid|a_low,steady cruise,structural decline,mid,low,1,-97.44751082972479,resilience_upgrade
recovery_rebound|structural_decline|r_mid|a_low,recovery rebound,structural decline,mid,low,2,-97.63875562719647,resilience_upgrade
steady_cruise|late_takeoff|r_high|a_mid,steady cruise,late takeoff,high,mid,3,-97.86601730828652,resilience_upgrade
mixed_transition|persistent_accelerator|r_mid|a_low,mixed transition,persistent accelerator,mid,low,3,-98.10186731503616,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_high,deep cooling,late takeoff,low,high,1,-99.34602502655196,innovation_pulse
steady_cruise|persistent_accelerator|r_mid|a_mid,steady cruise,persistent accelerator,mid,mid,4,-100.14053524869207,resilience_upgrade
recovery_rebound|late_takeoff|r_mid|a_mid,recovery rebound,late takeoff,mid,mid,4,-100.25765164893767,innovation_pulse
mixed_transition|late_takeoff|r_high|a_mid,mixed transition,late takeoff,high,mid,12,-100.62510460626355,resilience_upgrade
steady_cruise|persistent_accelerator|r_low|a_mid,steady cruise,persistent accelerator,low,mid,1,-101.35883215741046,innovation_pulse
recovery_rebound|persistent_accelerator|r_mid|a_high,recovery rebound,persistent accelerator,mid,high,1,-101.64598747572605,innovation_pulse
surge_expansion|late_takeoff|r_mid|a_mid,surge expansion,late takeoff,mid,mid,7,-101.65054499748479,innovation_pulse
recovery_rebound|volatile_rebound|r_low|a_mid,recovery rebound,volatile rebound,low,mid,2,-103.52239107954136,wait_observe
recovery_rebound|volatile_rebound|r_mid|a_low,recovery rebound,volatile rebound,mid,low,1,-104.45221088611139,resilience_upgrade
recovery_rebound|late_takeoff|r_mid|a_low,recovery rebound,late takeoff,mid,low,1,-109.20821449720292,innovation_pulse
