city_id,continent,state,start_year,end_year,duration,exit_observed
tehran_ir,Asia,stall_trap,2018,2018,1,1
tel_aviv_il,Asia,stall_trap,2015,2015,1,1
thessaloniki_gr,Europe,stall_trap,2015,2015,1,1
thessaloniki_gr,Europe,stall_trap,2025,2025,1,0
tijuana_mx,North America,stall_trap,2015,2015,1,1
tokyo_jp,Asia,stall_trap,2024,2024,1,1
toulouse_fr,Europe,stall_trap,2015,2015,1,1
trujillo_pe,South America,stall_trap,2022,2022,1,1
valencia_es,Europe,stall_trap,2015,2015,1,1
valencia_es,Europe,stall_trap,2024,2024,1,1
vientiane_la,Asia,stall_trap,2015,2015,1,1
vladivostok_ru,Asia,stall_trap,2015,2015,1,1
washington_dc_us,North America,stall_trap,2015,2015,1,1
washington_dc_us,North America,stall_trap,2022,2022,1,1
wellington_nz,Oceania,stall_trap,2015,2015,1,1
windhoek_na,Africa,stall_trap,2015,2015,1,1
winnipeg_ca,North America,stall_trap,2024,2024,1,1
wuhan_cn,Asia,stall_trap,2015,2015,1,1
wuhan_cn,Asia,stall_trap,2022,2022,1,1
yakutsk_ru,Asia,stall_trap,2015,2015,1,1
yaounde_cm,Africa,stall_trap,2015,2015,1,1
yekaterinburg_ru,Asia,stall_trap,2015,2015,1,1
