state_id,kinetic_state,trajectory_regime,risk_bucket,accel_bucket,visit_count,rl_state_value,rl_best_action
mixed_transition|late_takeoff|r_low|a_high,mixed transition,late takeoff,low,high,2,-108.24744105570278,innovation_pulse
recovery_rebound|late_takeoff|r_low|a_mid,recovery rebound,late takeoff,low,mid,2,-108.63231635321011,innovation_pulse
steady_cruise|persistent_accelerator|r_mid|a_mid,steady cruise,persistent accelerator,mid,mid,3,-108.68305157691115,resilience_upgrade
deep_cooling|volatile_rebound|r_high|a_low,deep cooling,volatile rebound,high,low,1,-108.8037628051744,resilience_upgrade
mixed_transition|persistent_accelerator|r_mid|a_low,mixed transition,persistent accelerator,mid,low,3,-109.3276209039402,resilience_upgrade
deep_cooling|persistent_accelerator|r_mid|a_high,deep cooling,persistent accelerator,mid,high,2,-109.66738502533492,resilience_upgrade
mixed_transition|stable_mature|r_high|a_mid,mixed transition,stable mature,high,mid,4,-109.7631966427898,resilience_upgrade
mixed_transition|late_takeoff|r_high|a_mid,mixed transition,late takeoff,high,mid,13,-110.3125053079698,resilience_upgrade
mixed_transition|stalling_plateau|r_mid|a_low,mixed transition,stalling plateau,mid,low,1,-111.08524874802532,resilience_upgrade
mixed_transition|persistent_accelerator|r_low|a_mid,mixed transition,persistent accelerator,low,mid,3,-111.99817173471986,innovation_pulse
recovery_rebound|volatile_rebound|r_low|a_mid,recovery rebound,volatile rebound,low,mid,2,-113.11779010186017,wait_observe
mixed_transition|late_takeoff|r_high|a_low,mixed transition,late takeoff,high,low,1,-113.1271373123452,resilience_upgrade
recovery_rebound|structural_decline|r_mid|a_low,recovery rebound,structural decline,mid,low,1,-114.8062870633062,resilience_upgrade
mixed_transition|late_takeoff|r_low|a_mid,mixed transition,late takeoff,low,mid,5,-114.96217791042828,innovation_pulse
surge_expansion|persistent_accelerator|r_high|a_mid,surge expansion,persistent accelerator,high,mid,1,-115.02547633203564,resilience_upgrade
deep_cooling|late_takeoff|r_low|a_high,deep cooling,late takeoff,low,high,1,-120.6446641824341,innovation_pulse
deep_cooling|volatile_rebound|r_low|a_high,deep cooling,volatile rebound,low,high,1,-122.4195935782936,resilience_upgrade
surge_expansion|late_takeoff|r_mid|a_mid,surge expansion,late takeoff,mid,mid,4,-123.39066016354325,innovation_pulse
recovery_rebound|late_takeoff|r_mid|a_low,recovery rebound,late takeoff,mid,low,1,-126.20295443470344,resilience_upgrade
