event_id,source_rank,source_url,source_domain,source_track,source_ref
pevt_001249,1,https://projects.worldbank.org/en/projects-operations/project-detail/P173025,projects.worldbank.org,external_direct,wb_project:P173025|P176608
pevt_001249,2,https://projects.worldbank.org/en/projects-operations/project-detail/P176608,projects.worldbank.org,external_direct,wb_project:P173025|P176608
pevt_001250,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179867,projects.worldbank.org,external_direct,wb_project_regional:P179867|P181218|P181219
pevt_001250,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,external_direct,wb_project_regional:P179867|P181218|P181219
pevt_001250,3,https://projects.worldbank.org/en/projects-operations/project-detail/P181219,projects.worldbank.org,external_direct,wb_project_regional:P179867|P181218|P181219
pevt_001251,1,https://projects.worldbank.org/en/projects-operations/project-detail/P179255,projects.worldbank.org,external_direct,wb_project:P179255
pevt_001252,1,https://projects.worldbank.org/en/projects-operations/project-detail/P178274,projects.worldbank.org,external_direct,wb_project_regional:P178274|P181068|P181346
pevt_001252,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181068,projects.worldbank.org,external_direct,wb_project_regional:P178274|P181068|P181346
pevt_001252,3,https://projects.worldbank.org/en/projects-operations/project-detail/P181346,projects.worldbank.org,external_direct,wb_project_regional:P178274|P181068|P181346
pevt_001253,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174915,projects.worldbank.org,external_direct,wb_project:P174915|P179217|P179345|P180849
pevt_001253,2,https://projects.worldbank.org/en/projects-operations/project-detail/P179217,projects.worldbank.org,external_direct,wb_project:P174915|P179217|P179345|P180849
pevt_001253,3,https://projects.worldbank.org/en/projects-operations/project-detail/P179345,projects.worldbank.org,external_direct,wb_project:P174915|P179217|P179345|P180849
pevt_001253,4,https://projects.worldbank.org/en/projects-operations/project-detail/P180849,projects.worldbank.org,external_direct,wb_project:P174915|P179217|P179345|P180849
pevt_001254,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177407,projects.worldbank.org,external_direct,wb_project_regional:P177407|P179128|P179313
pevt_001254,2,https://projects.worldbank.org/en/projects-operations/project-detail/P179128,projects.worldbank.org,external_direct,wb_project_regional:P177407|P179128|P179313
pevt_001254,3,https://projects.worldbank.org/en/projects-operations/project-detail/P179313,projects.worldbank.org,external_direct,wb_project_regional:P177407|P179128|P179313
pevt_001255,1,https://projects.worldbank.org/en/projects-operations/project-detail/P176375,projects.worldbank.org,external_direct,wb_project:P176375
pevt_001256,1,https://projects.worldbank.org/en/projects-operations/project-detail/P180762,projects.worldbank.org,external_direct,wb_project:P180762|P502837
pevt_001256,2,https://projects.worldbank.org/en/projects-operations/project-detail/P502837,projects.worldbank.org,external_direct,wb_project:P180762|P502837
pevt_001257,1,https://projects.worldbank.org/en/projects-operations/project-detail/P180173,projects.worldbank.org,external_direct,wb_project:P180173|P180781|P181436
pevt_001257,2,https://projects.worldbank.org/en/projects-operations/project-detail/P180781,projects.worldbank.org,external_direct,wb_project:P180173|P180781|P181436
pevt_001257,3,https://projects.worldbank.org/en/projects-operations/project-detail/P181436,projects.worldbank.org,external_direct,wb_project:P180173|P180781|P181436
pevt_001258,1,https://data.worldbank.org/indicator,data.worldbank.org,objective_macro,objective_macro_rule:wb_structural_break@2017;score=0.0000;vars=IT.NET.USER.ZS|NE.GDI.FTOT.ZS|NY.GDP.PCAP.CD|FP.CPI.TOTL.ZG
pevt_001259,1,https://projects.worldbank.org/en/projects-operations/project-detail/P123134,projects.worldbank.org,external_direct,wb_project:P123134|P150009
pevt_001259,2,https://projects.worldbank.org/en/projects-operations/project-detail/P150009,projects.worldbank.org,external_direct,wb_project:P123134|P150009
pevt_001260,1,https://projects.worldbank.org/en/projects-operations/project-detail/P125728,projects.worldbank.org,external_direct,wb_project:P125728|P153277
pevt_001260,2,https://projects.worldbank.org/en/projects-operations/project-detail/P153277,projects.worldbank.org,external_direct,wb_project:P125728|P153277
pevt_001261,1,https://projects.worldbank.org/en/projects-operations/project-detail/P150496,projects.worldbank.org,external_direct,wb_project:P150496|P150937|P159489
pevt_001261,2,https://projects.worldbank.org/en/projects-operations/project-detail/P150937,projects.worldbank.org,external_direct,wb_project:P150496|P150937|P159489
pevt_001261,3,https://projects.worldbank.org/en/projects-operations/project-detail/P159489,projects.worldbank.org,external_direct,wb_project:P150496|P150937|P159489
pevt_001262,1,https://projects.worldbank.org/en/projects-operations/project-detail/P150361,projects.worldbank.org,external_direct,wb_project:P150361|P150523
pevt_001262,2,https://projects.worldbank.org/en/projects-operations/project-detail/P150523,projects.worldbank.org,external_direct,wb_project:P150361|P150523
pevt_001263,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163752,projects.worldbank.org,external_direct,wb_project:P163752
pevt_001264,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163732,projects.worldbank.org,external_direct,wb_project:P163732
pevt_001265,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169165,projects.worldbank.org,external_direct,wb_project:P169165
pevt_001266,1,https://projects.worldbank.org/en/projects-operations/project-detail/P170480,projects.worldbank.org,external_direct,wb_project:P170480
pevt_001267,1,https://projects.worldbank.org/en/projects-operations/project-detail/P169380,projects.worldbank.org,external_direct,wb_project:P169380
pevt_001268,1,https://projects.worldbank.org/en/projects-operations/project-detail/P164906,projects.worldbank.org,external_direct,wb_project:P164906|P164920|P166415
pevt_001268,2,https://projects.worldbank.org/en/projects-operations/project-detail/P164920,projects.worldbank.org,external_direct,wb_project:P164906|P164920|P166415
pevt_001268,3,https://projects.worldbank.org/en/projects-operations/project-detail/P166415,projects.worldbank.org,external_direct,wb_project:P164906|P164920|P166415
pevt_001269,1,https://projects.worldbank.org/en/projects-operations/project-detail/P162493,projects.worldbank.org,external_direct,wb_project:P162493|P170435|P172922
pevt_001269,2,https://projects.worldbank.org/en/projects-operations/project-detail/P170435,projects.worldbank.org,external_direct,wb_project:P162493|P170435|P172922
pevt_001269,3,https://projects.worldbank.org/en/projects-operations/project-detail/P172922,projects.worldbank.org,external_direct,wb_project:P162493|P170435|P172922
pevt_001270,1,https://projects.worldbank.org/en/projects-operations/project-detail/P159954,projects.worldbank.org,external_direct,wb_project:P159954|P165660|P178156|P178157
pevt_001270,2,https://projects.worldbank.org/en/projects-operations/project-detail/P165660,projects.worldbank.org,external_direct,wb_project:P159954|P165660|P178156|P178157
pevt_001270,3,https://projects.worldbank.org/en/projects-operations/project-detail/P178156,projects.worldbank.org,external_direct,wb_project:P159954|P165660|P178156|P178157
pevt_001270,4,https://projects.worldbank.org/en/projects-operations/project-detail/P178157,projects.worldbank.org,external_direct,wb_project:P159954|P165660|P178156|P178157
pevt_001271,1,https://projects.worldbank.org/en/projects-operations/project-detail/P161757,projects.worldbank.org,external_direct,wb_project:P161757|P169425|P177128
pevt_001271,2,https://projects.worldbank.org/en/projects-operations/project-detail/P169425,projects.worldbank.org,external_direct,wb_project:P161757|P169425|P177128
pevt_001271,3,https://projects.worldbank.org/en/projects-operations/project-detail/P177128,projects.worldbank.org,external_direct,wb_project:P161757|P169425|P177128
pevt_001272,1,https://projects.worldbank.org/en/projects-operations/project-detail/P180298,projects.worldbank.org,external_direct,wb_project:P180298
pevt_001273,1,https://projects.worldbank.org/en/projects-operations/project-detail/P180722,projects.worldbank.org,external_direct,wb_project:P180722|P500588
pevt_001273,2,https://projects.worldbank.org/en/projects-operations/project-detail/P500588,projects.worldbank.org,external_direct,wb_project:P180722|P500588
pevt_001274,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145037,projects.worldbank.org,external_direct,wb_project:P145037|P149286
pevt_001274,2,https://projects.worldbank.org/en/projects-operations/project-detail/P149286,projects.worldbank.org,external_direct,wb_project:P145037|P149286
pevt_001275,1,https://projects.worldbank.org/en/projects-operations/project-detail/P112340,projects.worldbank.org,external_direct,wb_project:P112340|P133305
pevt_001275,2,https://projects.worldbank.org/en/projects-operations/project-detail/P133305,projects.worldbank.org,external_direct,wb_project:P112340|P133305
pevt_001276,1,https://projects.worldbank.org/en/projects-operations/project-detail/P155186,projects.worldbank.org,external_direct,wb_project:P155186
pevt_001277,1,https://projects.worldbank.org/en/projects-operations/project-detail/P160250,projects.worldbank.org,external_direct,wb_project:P160250
pevt_001278,1,https://projects.worldbank.org/en/projects-operations/project-detail/P163782,projects.worldbank.org,external_direct,wb_project:P163782
