event_id,iso3,start_year,end_year,effective_date,policy_name,policy_intensity,source_ref,source_track,evidence_grade,project_id_count,project_ids,source_url_count,primary_source_url,source_domain,has_objective_source,is_external_direct,is_objective_indicator,is_objective_macro,is_ai_inferred,commitment_usd,project_count,assignment_type
pevt_000063,AUT,2017,2017,2017-01-01,urban_mobility,0.9404928115297052,wb_project:P152117|P158958,external_direct,A,2,P152117|P158958,2,https://projects.worldbank.org/en/projects-operations/project-detail/P152117,projects.worldbank.org,1,1,0,0,0,34300000.0,2.0,explicit
pevt_000064,AUT,2019,2019,2019-01-01,energy_transition,0.9294672796872469,wb_project_regional:P153404|P165313,external_direct,A,2,P153404|P165313,2,https://projects.worldbank.org/en/projects-operations/project-detail/P153404,projects.worldbank.org,1,1,0,0,0,26000000.0,2.0,regional
pevt_000065,AUT,2019,2019,2019-01-01,urban_services,0.6859502433310107,wb_project:P168539,external_direct,A,1,P168539,1,https://projects.worldbank.org/en/projects-operations/project-detail/P168539,projects.worldbank.org,1,1,0,0,0,30600000.0,1.0,explicit
pevt_000066,AUT,2020,2020,2020-01-01,urban_services,0.7441246258628174,wb_project_regional:P166820,external_direct,A,1,P166820,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166820,projects.worldbank.org,1,1,0,0,0,132000000.0,1.0,regional
pevt_000067,AUT,2022,2022,2022-01-01,innovation_industry,0.75,wb_project_regional:P174135,external_direct,A,1,P174135,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174135,projects.worldbank.org,1,1,0,0,0,153000000.0,1.0,regional
pevt_000068,AUT,2023,2023,2023-01-01,energy_transition,0.934222584538014,wb_project_regional:P181218|P181219,external_direct,A,2,P181218|P181219,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,1,1,0,0,0,29300000.0,2.0,regional
pevt_000069,AUT,2024,2024,2024-01-01,climate_resilience,0.7012982027601883,wb_project_regional:P177407,external_direct,A,1,P177407,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177407,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000070,AUT,2024,2024,2024-01-01,institutional_reform,0.6851621710303221,wb_project:P181493,external_direct,A,1,P181493,1,https://projects.worldbank.org/en/projects-operations/project-detail/P181493,projects.worldbank.org,1,1,0,0,0,30000000.0,1.0,explicit
pevt_000071,AZE,2015,2015,2015-01-01,urban_mobility,0.6069626886777735,wb_project_regional:P145634,external_direct,A,1,P145634,1,https://projects.worldbank.org/en/projects-operations/project-detail/P145634,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000072,AZE,2016,2016,2016-01-01,urban_mobility,0.7396214050786993,wb_project:P156377,external_direct,A,1,P156377,1,https://projects.worldbank.org/en/projects-operations/project-detail/P156377,projects.worldbank.org,1,1,0,0,0,140000000.0,1.0,explicit
pevt_000073,AZE,2020,2020,2020-01-01,urban_mobility,0.9725739469363966,wb_project_regional:P171250|P174285,external_direct,A,2,P171250|P174285,2,https://projects.worldbank.org/en/projects-operations/project-detail/P171250,projects.worldbank.org,1,1,0,0,0,121000000.0,2.0,regional
pevt_000074,AZE,2020,2020,2020-01-01,urban_services,0.7327440101346451,wb_project_regional:P166820,external_direct,A,1,P166820,1,https://projects.worldbank.org/en/projects-operations/project-detail/P166820,projects.worldbank.org,1,1,0,0,0,132000000.0,1.0,regional
pevt_000075,AZE,2021,2021,2021-01-01,urban_mobility,0.6499430935729207,wb_project:P174379,external_direct,A,1,P174379,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174379,projects.worldbank.org,1,1,0,0,0,65000000.0,1.0,explicit
pevt_000076,AZE,2022,2022,2022-01-01,innovation_industry,0.75,wb_project_regional:P174135,external_direct,A,1,P174135,1,https://projects.worldbank.org/en/projects-operations/project-detail/P174135,projects.worldbank.org,1,1,0,0,0,153000000.0,1.0,regional
pevt_000077,AZE,2023,2023,2023-01-01,energy_transition,0.8068115513873397,wb_project_regional:P181218|P181219,external_direct,A,2,P181218|P181219,2,https://projects.worldbank.org/en/projects-operations/project-detail/P181218,projects.worldbank.org,1,1,0,0,0,29300000.0,2.0,regional
pevt_000078,AZE,2024,2024,2024-01-01,climate_resilience,0.6069626886777735,wb_project_regional:P177407,external_direct,A,1,P177407,1,https://projects.worldbank.org/en/projects-operations/project-detail/P177407,projects.worldbank.org,1,1,0,0,0,45000000.0,1.0,regional
pevt_000079,AZE,2024,2024,2024-01-01,urban_mobility,0.7476854294423806,wb_project:P181649,external_direct,A,1,P181649,1,https://projects.worldbank.org/en/projects-operations/project-detail/P181649,projects.worldbank.org,1,1,0,0,0,150000000.0,1.0,explicit
pevt_000080,BDI,2017,2017,2017-01-01,institutional_reform,0.7940817122036791,wb_project:P155060|P161781,external_direct,A,2,P155060|P161781,2,https://projects.worldbank.org/en/projects-operations/project-detail/P155060,projects.worldbank.org,1,1,0,0,0,125000000.0,2.0,explicit
pevt_000081,BDI,2017,2017,2017-01-01,urban_mobility,0.6816719378378138,wb_project:P156012,external_direct,A,1,P156012,1,https://projects.worldbank.org/en/projects-operations/project-detail/P156012,projects.worldbank.org,1,1,0,0,0,58300000.0,1.0,explicit
